Volume ID	Disk Type	Size (GB)	InstanceID	Device	InstanceName	IP Address	Owner
vol-0ac004a42bdb2dd3d	standard	99	i-068c829f57ff6bcd4	/dev/sda1	BPaidAppServer-2	10.0.0.24	Palani
vol-0e7ed2edfd8187612	standard	99	i-00d3dfddc6a3b02d8	/dev/sda1	Backup-OnBoarding-O365-6	10.0.0.207	Palani
vol-00b83a1a40a56d5f3	gp2	400	i-00d3dfddc6a3b02d8	xvdf	Backup-OnBoarding-O365-6	10.0.0.207	Palani
vol-05c9dc634f9bcf617	standard	99	i-0d3fe9ecb554fbe36	/dev/sda1	BPaidAppServer-5	10.0.0.237	Palani
vol-0944767669b44220d	gp2	99	i-065087e0ff2379e33	/dev/sda1	DomainSecurityMailScan-1	10.0.0.127	Manikandan
vol-0e99b8f87f701f8d4	gp2	99	i-002cac2a9ea3c31b8	/dev/sda1	FeedSyncServer-4	10.0.0.192	Gowtham
vol-0f8b0a59d42784b36	gp2	99	i-0d71b0ced8ad05034	/dev/sda1	FeedSyncServer-5-OD	10.0.0.77	Gowtham
vol-0eff54d52e6c29ac1	gp2	125	i-0beebf28416bfb1c7	xvdf	BPaidAppServer-L1	10.0.0.62	None
vol-02043d1be1dff6efd	gp2	126	i-08fdd58c09333f437	xvdf	BPaidAppServer-L2	10.0.0.124	None
vol-0033d59bf56d33064	gp2	127	i-0ac3b7c83bcf121b0	xvdf	BPaidAppServer-L3	10.0.0.80	None
vol-0cf932c3575d66008	gp2	128	i-047537d2a38650e46	xvdf	BPaidAppServer-L4	10.0.0.128	None
vol-002150edfe2ae048d	gp2	100	i-065087e0ff2379e33	/dev/sdf	DomainSecurityMailScan-1	10.0.0.127	Manikandan
vol-00a575d95aac9dddf	gp2	99	i-015b440c258456c5d	/dev/sda1	O365-Fareportal-1	10.0.0.76	Gokul
vol-0bc8f37299eb427f5	gp2	99	i-04dfb1a08167ff308	/dev/sda1	BPaid-AppServer-3X-1-OD	10.0.0.215	Palani
vol-04e81baf6842a02c0	gp2	200	i-0af7931ba0326604c	xvdf	Backup-OnBoarding-O365-1	10.0.0.33	Gokulnath
vol-079ece1421d7deadc	gp2	99	i-01e353b71e60c7bbb	/dev/sda1	BTrialServerNew-OD	10.0.0.42	Palani
vol-0174df8a862cb7971	gp2	99	i-0500eebf6c73c3a6d	/dev/sda1	RetentionServer	10.0.0.164	Gowthaman
vol-0eefd550aea8bec81	gp2	700	i-0a3874b0114e96650	xvdf	O365-Fareportal-3	10.0.0.227	Gokul
vol-0ff5c62eac5e4204f	gp2	50	i-064f098aedffcc183	/dev/sda1	AWStoAzureNew	10.0.0.29	None
vol-0134da816724445e4	gp2	50	i-0632d2ca539b73d40	/dev/sda1	AWStoAzureNew2012	10.0.0.116	None
vol-01a3a284611c8fd44	gp2	99	i-056f2c5c24bc228c9	/dev/sda1	SyncServer-1	10.0.0.185	Gowtham
vol-027bd0202241ab3aa	gp2	99	i-08b0bedab4d7df4e5	/dev/sda1	SyncServer-2	10.0.0.117	Gowtham
vol-01ca2b66313899d76	gp2	99	i-09fec35b011e40ce6	/dev/sda1	SyncServer-3	10.0.0.4	Gowtham
vol-0bc00ebab3b10f714	gp2	99	i-01d78bbce20d561c0	/dev/sda1	Backup-RestoreExport-1	10.0.0.166	Palani
vol-061d2bd1320110163	gp2	41	i-06a602b08ecc6f2bc	xvdf	SyncServer-1	10.0.0.67	None
vol-0d24c253ecf8966c0	gp2	42	i-031124117ba7ed62f	xvdf	SyncServer-2	10.0.0.201	None
vol-0bdcff8d7da57cf91	gp2	43	i-09fec35b011e40ce6	xvdf	SyncServer-3	10.0.0.4	Gowtham
vol-07ad869310b8d216f	gp2	100	i-0c21821f4eea1dd84	/dev/sda1	DomainSecurity-Windows	10.0.0.56	Manikandan
vol-088467f5b6d3a9e15	gp2	100	i-0ecd7349d7e3de31c	/dev/sdb	DomainSecurityMailWatchChannels	10.0.0.50	Manikandan
vol-05316664b3958271c	gp2	100	None	None	#N/A	#N/A	#N/A
vol-0f574b4922b7e1aca	gp2	100	i-0cfc637cca8394b39	/dev/sdb	DomainSecurity-DriveScan-1	10.0.0.242	Manikandan
vol-0d529d653c37c2efb	gp2	100	None	None	#N/A	#N/A	#N/A
vol-07c33cb95104e2347	gp2	100	None	None	#N/A	#N/A	#N/A
vol-0bb97b2332298882e	gp2	100	None	None	#N/A	#N/A	#N/A
vol-005521fded042172e	gp2	99	i-0ecd7349d7e3de31c	/dev/sda1	DomainSecurityMailWatchChannels	10.0.0.50	Manikandan
vol-0522dbee8d105819d	gp2	99	i-0cfc637cca8394b39	/dev/sda1	DomainSecurity-DriveScan-1	10.0.0.242	Manikandan
vol-0bb496a0642381145	gp2	100	None	None	#N/A	#N/A	#N/A
vol-005023128d63ea63a	gp2	100	None	None	#N/A	#N/A	#N/A
vol-0c26b493d8c23916e	gp2	99	i-07cc089ae8404e7cb	/dev/sda1	DomainSecurity-MailRealTime-1	10.0.0.143	Manikandan
vol-012f5175294a73732	gp2	100	i-07cc089ae8404e7cb	/dev/sdb	DomainSecurity-MailRealTime-1	10.0.0.143	Manikandan
vol-033de2795952d57dd	gp2	99	i-0520202bacaab119b	/dev/sda1	DomainSecurity-DriveWatchChannels	10.0.0.120	Manikandan
vol-0b088d3f12eed4dc8	gp2	100	i-0520202bacaab119b	/dev/sdb	DomainSecurity-DriveWatchChannels	10.0.0.120	Manikandan
vol-0324343b2dd7fecfb	gp2	99	i-0c1e0209d250e2838	/dev/sda1	DomainSecurity-DriveRealTime-2	10.0.0.136	Manikandan
vol-05159b9fb0a2f5bd3	gp2	99	i-04e6adfcd9e0bcc38	/dev/sda1	DomainSecurityDriveNotification	10.0.0.228	Manikandan
vol-0d7580cc45c7919cd	gp2	99	i-0fc6a1ce7041bf1ca	/dev/sda1	DomainRealTimeMailNotification	10.0.0.206	Manikandan
vol-043f77092076b45ad	gp2	100	i-0d4529225767ce27f	xvdf	DomainSecurity-Schedulers	10.0.0.199	Manikandan
vol-0531feaf8b3b4b139	gp2	99	i-0d4529225767ce27f	/dev/sda1	DomainSecurity-Schedulers	10.0.0.199	Manikandan
vol-0e42df85a6cdb3ae7	gp2	99	i-036b6acf300f73d82	/dev/sda1	O365-RealTimeServer	10.0.0.197	Gokul
vol-018e1aaa545bde115	gp2	99	i-0d6841eb9fb74c005	/dev/sda1	O365-ScaningServer	10.0.0.249	Gokul
vol-08f0de6647dbe7bc8	gp2	100	i-036b6acf300f73d82	xvdf	O365-RealTimeServer	10.0.0.197	Gokul
vol-0dff3e9cf6e567903	gp2	100	i-0d6841eb9fb74c005	xvdf	O365-ScaningServer	10.0.0.249	Gokul
vol-0e55157c2bb16a5ae	gp2	1024	i-01d78bbce20d561c0	xvdg	Backup-RestoreExport-1	10.0.0.166	Palani
vol-0be90954e73123307	gp2	99	i-090e2b56aaf5f56db	/dev/sda1	DomainSecurityAppfirewallScan	10.0.0.106	Manikandan
vol-010acc802c3919748	gp2	100	i-05e18d560d6ab7c73	xvdf	DomainSecurityLoginScanServer	10.0.0.70	Manikandan
vol-09d068bce31dd1725	gp2	99	i-05e18d560d6ab7c73	/dev/sda1	DomainSecurityLoginScanServer	10.0.0.70	Manikandan
vol-0d3772d57727535a2	gp2	100	i-05e18d560d6ab7c73	xvdg	DomainSecurityLoginScanServer	10.0.0.70	Manikandan
vol-0ed354f8329b67353	gp2	99	i-0dc2745efe7ef886b	/dev/sda1	Backup-Drive-LargeFile	10.0.0.79	Palani
vol-0e4ae44997e5feb98	gp2	201	i-0ceec518f5a3236c8	xvdf	BPaidAppServer-1	10.0.0.7	Palani
vol-0a59cbfb825737bc2	gp2	202	i-068c829f57ff6bcd4	xvdf	BPaidAppServer-2	10.0.0.24	Palani
vol-0fdf0761329bdaa5d	gp2	205	i-0d3fe9ecb554fbe36	xvdf	BPaidAppServer-5	10.0.0.237	Palani
vol-0eb969c68c5425427	gp2	207	i-000f6abcf7409705e	xvdf	BPaidAppServer-7	10.0.0.156	Palani
vol-0e9cd0f4961f9c424	gp2	208	i-0a22674a5705b5dca	xvdf	BPaidAppServer-8	10.0.0.200	Palani
vol-0fd66f03307d3381f	gp2	209	i-005be6f9ad2e13318	xvdf	BPaidAppServer-9	10.0.0.195	Palani
vol-0abe21932dff8b65d	gp2	210	i-0559c129a6dc9f0d9	xvdf	BPaidAppServer-10	10.0.0.125	Palani
vol-0b0c4cbcf0fabe0f8	gp2	211	i-093e844b624e33685	xvdm	Backup-S3Mover	10.0.0.202	Palani
vol-04af03e45c9a80f81	gp2	212	i-093e844b624e33685	xvdj	Backup-S3Mover	10.0.0.202	Palani
vol-09cf5a3b30ca6ad16	gp2	213	i-093e844b624e33685	xvdl	Backup-S3Mover	10.0.0.202	Palani
vol-08ebd1bcc9d64cd5d	gp2	214	i-093e844b624e33685	xvdk	Backup-S3Mover	10.0.0.202	Palani
vol-0b7fbf15b8cd335fd	gp2	215	i-093e844b624e33685	xvdn	Backup-S3Mover	10.0.0.202	Palani
vol-0a6c4fa1bde4fd227	gp2	99	i-0d9e0bd6fe9c85278	/dev/sda1	O365-Fareportal-2	10.0.0.167	Gokul
vol-0f9c1b9e80f51b24d	gp2	99	i-0a3874b0114e96650	/dev/sda1	O365-Fareportal-3	10.0.0.227	Gokul
vol-04c87eac2acde2fc2	gp2	99	i-015b49888af5d3380	/dev/sda1	BPaidAppServer-4	10.0.0.93	Palani
vol-00c6270147191258e	gp2	99	i-0158d765797fe415b	/dev/sda1	BPaidAppServer-3	10.0.0.241	Palani
vol-00f3fe63da40b347d	gp2	191	i-0158d765797fe415b	xvdf	BPaidAppServer-3	10.0.0.241	Palani
vol-0d99dcbfbd1f94328	gp2	192	i-015b49888af5d3380	xvdf	BPaidAppServer-4	10.0.0.93	Palani
vol-0ad9c5a67aad914f4	gp2	193	i-01200d6389c02ed70	xvdf	BPaidAppServer-6	10.0.0.99	Palani
vol-0dcc222a0ac36e8c2	gp2	50	i-08f799ec41a628294	xvdf	BDBPaidServer-5-new	10.0.1.56	Palani
vol-006d49fad9bc647b1	gp2	750	i-0908840c3bc9154ab	xvdf	Backup-OnBoarding-O365-2	10.0.0.247	Palani
vol-0f6ed07a42bac128e	gp2	333	i-0707328e92bea1e67	xvdf	Backup-OnBoarding-O365-3	10.0.0.189	Palani
vol-00dd66f58a47461d7	standard	99	i-0707328e92bea1e67	/dev/sda1	Backup-OnBoarding-O365-3	10.0.0.189	Palani
vol-0ea23243394007bc7	standard	99	i-0908840c3bc9154ab	/dev/sda1	Backup-OnBoarding-O365-2	10.0.0.247	Palani
vol-082ad62150e42dd9c	gp2	8	i-028ffc15083a49b18	/dev/xvda	AWSLambdaForPHP	10.0.0.44	None
vol-07ee82af730e18467	gp2	50	i-0c1b648a48771f84d	/dev/sda1	AWStoAzureNewTest	10.0.0.111	None
vol-0ab586722a49f8049	gp2	99	i-0371cd1304b0df2c7	/dev/sda1	MigrationDrive	10.0.0.183	None
vol-073e90a41110299a3	gp2	99	i-0ca3e3adf0e5ef565	/dev/sda1	MigrationApp	10.0.0.182	None
vol-045867ad483a9b315	gp2	99	i-0e3abd596f027c8e8	/dev/sda1	MigrationWeb	10.0.0.78	None
vol-0df1260800e46718c	gp2	75	i-0ca3e3adf0e5ef565	xvdf	MigrationApp	10.0.0.182	None
vol-025f775f5abc3dbc8	gp2	75	i-0e3abd596f027c8e8	xvdf	MigrationWeb	10.0.0.78	None
vol-0bc31d956eac685da	gp2	99	i-0f0ef52372b362ced	/dev/sda1	Backup-OnBoarding-Intermediate-T	10.0.0.58	Palani
vol-0d57e1f6c6db25d17	gp2	36	i-0f0ef52372b362ced	xvdf	Backup-OnBoarding-Intermediate-T	10.0.0.58	Palani
vol-020641c2119edadcf	gp2	100	i-0049c1d6f9978ba38	xvdf	DomainSecurityMail-PostgreSql	10.0.0.158	Manikandan
vol-0f0bce8ed5f325ba9	gp2	30	i-0847d3748024dd2f3	/dev/sda1	Natraj-TestingPC-Windows	10.0.0.57	None
vol-015287e207de28b00	gp2	128	i-0049c1d6f9978ba38	/dev/sda1	DomainSecurityMail-PostgreSql	10.0.0.158	Manikandan
vol-0891598492e68dd22	gp2	128	i-0d743f98461490b2f	/dev/sda1	DomainSecEncrption-1	10.0.0.59	Manikandan
vol-00937ed4f422cea8a	gp2	100	i-0d743f98461490b2f	xvdf	DomainSecEncrption-1	10.0.0.59	Manikandan
vol-058380f939d549d0a	gp2	128	i-0ab22bddba2b4110d	/dev/sda1	DomainSecurity-DriveEnc-AutoEncrypt	10.0.0.176	Manikandan
vol-0645a2508a2a07faf	gp2	100	i-0ab22bddba2b4110d	xvdf	DomainSecurity-DriveEnc-AutoEncrypt	10.0.0.176	Manikandan
vol-056a15ae4e13ead6e	gp2	226	i-093e844b624e33685	xvdh	Backup-S3Mover	10.0.0.202	Palani
vol-04d0ca5557dfffa24	gp2	227	i-093e844b624e33685	xvdg	Backup-S3Mover	10.0.0.202	Palani
vol-06f20e9dec5e63d31	gp2	100	i-0243a9392f8909208	xvdb	PhishingServer1	10.0.0.155	None
vol-05fa915b0e61dd287	gp2	50	i-0243a9392f8909208	/dev/sda1	PhishingServer1	10.0.0.155	None
vol-0121f24481d6d9c1a	standard	99	i-0a4e7c8c223961d1a	/dev/sda1	Backup-OnBoarding-O365-7	10.0.1.157	Palani
vol-020def344f0fef38a	gp2	350	i-0a4e7c8c223961d1a	xvdb	Backup-OnBoarding-O365-7	10.0.1.157	Palani
vol-0d01bbbef5e21441c	gp2	100	i-0a5626a5c2a1748bb	/dev/sdb	DomainSecurity-DriveScanStage	10.0.0.91	Manikandan
vol-0083a76583fa07ae4	gp2	99	i-0a5626a5c2a1748bb	/dev/sda1	DomainSecurity-DriveScanStage	10.0.0.91	Manikandan
vol-007617c0d0d0ed7f7	gp2	100	i-0b5f07242f009359e	/dev/sdf	DomainSecurity-MailScanStage	10.0.0.11	Manikandan
vol-0523e16746cc8cc89	gp2	99	i-0b5f07242f009359e	/dev/sda1	DomainSecurity-MailScanStage	10.0.0.11	Manikandan
vol-09686fd98b9c5252e	standard	99	i-0c34b33359e7b6b96	/dev/sda1	BPaid-AppServer-3X-2	10.0.0.8	Palani
vol-077e5f66e6180b402	gp2	365	i-093e844b624e33685	xvdf	Backup-S3Mover	10.0.0.202	Palani
vol-059b5a347638199f2	gp2	200	i-0cb54fbae3f850ef9	/dev/sda1	DomainSecurity-AppFirewall	10.0.0.103	Manikandan
vol-095ed4fea3faef0b1	standard	765	i-0dc2745efe7ef886b	xvdf	Backup-Drive-LargeFile	10.0.0.79	Palani
vol-0ab40d73a811831f4	gp2	100	i-0d3f3cb3b441d3de8	xvdf	DomainSecurityDrive-PostgreSql	10.0.0.239	Manikandan
vol-048cd0a127a98ca79	gp2	128	i-0d3f3cb3b441d3de8	/dev/sda1	DomainSecurityDrive-PostgreSql	10.0.0.239	Manikandan
vol-0a6a91b753a1e7f25	gp2	99	i-07caa5392218532b3	/dev/sda1	Backup-OnBoarding-1	10.0.0.211	Palani
vol-0e0abb4d2b958fd4e	gp2	99	i-0ed757dd422fc847e	/dev/sda1	Backup-OnBoarding-2	10.0.0.236	Palani
vol-00fb4cfca8e2070c0	gp2	400	i-00d3dfddc6a3b02d8	xvdg	Backup-OnBoarding-O365-6	10.0.0.207	Palani
vol-066443b68a293a34c	gp2	400	i-0908840c3bc9154ab	xvdg	Backup-OnBoarding-O365-2	10.0.0.247	Palani
vol-0c761f42c036dfe39	gp2	200	i-0d9e0bd6fe9c85278	xvdg	O365-Fareportal-2	10.0.0.167	Gokul
vol-0f15f4fc131392bf6	gp2	412	i-092e888bdd0857ab9	xvdg	Backup-100-Gmail	10.0.0.146	Palani
vol-0ef1ac344d27eaf64	gp2	30	i-05e6b5a2811a60996	/dev/sda1	DomainForML	10.0.0.97	Kaumudi
vol-0718688d684e805af	gp2	450	i-01e353b71e60c7bbb	xvdg	BTrialServerNew-OD	10.0.0.42	Palani
vol-0eeffb26d04afedc6	gp2	200	i-00d3dfddc6a3b02d8	xvdh	Backup-OnBoarding-O365-6	10.0.0.207	Palani
vol-00dfbfcc2d0423224	gp2	200	i-015b440c258456c5d	xvdg	O365-Fareportal-1	10.0.0.76	Gokul
vol-008623a815670ccae	gp2	400	i-0a3874b0114e96650	xvdg	O365-Fareportal-3	10.0.0.227	Gokul
vol-0a177f3bba01ab05b	gp2	1024	i-01d78bbce20d561c0	xvdf	Backup-RestoreExport-1	10.0.0.166	Palani
vol-0c0d64f837691c6df	gp2	198	i-01d78bbce20d561c0	xvdh	Backup-RestoreExport-1	10.0.0.166	Palani
vol-03a92eb3cb17a83f0	gp2	128	i-0d4c06b1248d49d33	/dev/sda1	Speed1-O365	10.0.0.90	Prabhu
vol-04da2bccce4b8c93f	gp2	200	i-0db2caa0677c768e5	/dev/sda1	Stage-Realtime	10.0.0.218	Prabhu
vol-090c9d29f5f128581	gp2	400	i-0d4c06b1248d49d33	xvdf	Speed1-O365	10.0.0.90	Prabhu
vol-0fd279eb740779b72	gp2	221	i-086eaa82a9bcafbab	xvdf	BPaid-AppServer-3X-1	10.0.0.141	None
vol-08da2fb0237e16998	gp2	222	i-0c34b33359e7b6b96	xvdg	BPaid-AppServer-3X-2	10.0.0.8	Palani
vol-0c8616720f98fbfe8	gp2	199	i-06de07cd1107a4119	xvdf	BTrialServerNew	10.0.0.19	None
vol-050849eaaa647edb9	gp2	31	i-07bb200c91d763d51	/dev/sda1	StagingDemoWeb	10.0.0.178	Prabhu
vol-0ebd63bed78e6677f	gp2	520	i-0847d3748024dd2f3	xvdf	Natraj-TestingPC-Windows	10.0.0.57	None
vol-0fa68ddb26bddffb8	gp2	401	i-00d3dfddc6a3b02d8	xvdi	Backup-OnBoarding-O365-6	10.0.0.207	Palani
vol-0792d4bcce9a4bf34	gp2	402	i-0d9e0bd6fe9c85278	xvdh	O365-Fareportal-2	10.0.0.167	Gokul
vol-0dd33b8baf3f6f76d	gp2	99	i-01200d6389c02ed70	/dev/sda1	BPaidAppServer-6	10.0.0.99	Palani
vol-034a881c59f4174fb	gp2	99	i-000f6abcf7409705e	/dev/sda1	BPaidAppServer-7	10.0.0.156	Palani
vol-09ae368e423558983	gp2	99	i-0a22674a5705b5dca	/dev/sda1	BPaidAppServer-8	10.0.0.200	Palani
vol-0f62f31275008fb57	gp2	99	i-005be6f9ad2e13318	/dev/sda1	BPaidAppServer-9	10.0.0.195	Palani
vol-008b9119d225f3106	gp2	99	i-0559c129a6dc9f0d9	/dev/sda1	BPaidAppServer-10	10.0.0.125	Palani
vol-0d640f75367abfb78	gp2	300	i-0594bfa00ad8e93d2	/dev/sdf	BackupLinuxfromAzure	10.0.0.188	Palani
vol-0e2416df795e7a1cb	gp2	200	i-0594bfa00ad8e93d2	/dev/sda1	BackupLinuxfromAzure	10.0.0.188	Palani
vol-0f582eda849b4cbaf	gp2	99	i-0790a05caa6229d72	/dev/sda1	DAL-Enc	10.0.0.130	None
vol-02b47fef729bb88eb	gp2	128	i-0fa2b0c259eb728d1	/dev/sda1	Backup-StagingFromAzure	10.0.1.227	Prabhu
vol-0df04091c7df46bd3	gp2	75	i-0fa2b0c259eb728d1	xvdf	Backup-StagingFromAzure	10.0.1.227	Prabhu
vol-025a13620c1ed818a	gp2	100	i-0fa2b0c259eb728d1	xvdg	Backup-StagingFromAzure	10.0.1.227	Prabhu
vol-05f7d83b0c2e27cb3	gp2	99	i-01083c54a15cedd9c	/dev/sda1	Backup-Onboarding-O365-8	10.0.0.22	Gokul
vol-026f6305d099a9e03	gp2	31	i-098aed9b12e5eb0c1	/dev/sda1	StagingO365Web	10.0.0.190	Prabhu
vol-05643ca968ddb496f	gp2	128	i-0d52636a1ae11f7f9	/dev/sda1	DomainRealtime6_From Azure	10.0.0.95	Prabhu
vol-0e1549abd1edf4dce	gp2	128	i-0a20a73e5323966a0	/dev/sda1	DomainSecurity From Azure	10.0.0.134	Prabhu
vol-0921bda1dc4e78dec	gp2	400	i-01083c54a15cedd9c	xvdf	Backup-Onboarding-O365-8	10.0.0.22	Gokul
vol-044057ff853a7d300	gp2	128	None	None	#N/A	#N/A	#N/A
vol-0c19b1cba5ce9ac93	gp2	100	i-0d45dc72396065af6	xvdf	DomSecEncrypt1 from  azure	10.0.0.147	None
vol-012445971d24cedb1	gp2	128	i-0d45dc72396065af6	/dev/sda1	DomSecEncrypt1 from  azure	10.0.0.147	None
vol-07b3f5739bf0eb312	gp2	396	i-00d3dfddc6a3b02d8	xvdj	Backup-OnBoarding-O365-6	10.0.0.207	Palani
vol-0a56532f9096b3f8f	gp2	400	i-015b440c258456c5d	xvdh	O365-Fareportal-1	10.0.0.76	Gokul
vol-02040720ef916ef44	gp2	400	i-0186d3c97a4444d4e	xvdf	Speed1-O365 -II	10.0.0.89	Prabhu
vol-0697669f9e5f4474f	gp2	128	i-0186d3c97a4444d4e	/dev/sda1	Speed1-O365 -II	10.0.0.89	Prabhu
vol-079ef5740ed46c385	gp2	128	i-0fe8ef109731a13ad	/dev/sda1	Backup-StagingFromAzure-II	10.0.0.213	Prabhu
vol-0150d6997a0d36e66	gp2	100	i-0fe8ef109731a13ad	xvdf	Backup-StagingFromAzure-II	10.0.0.213	Prabhu
vol-04f1b78bf43b40167	gp2	200	i-045f17de4e0d53e4a	/dev/sda1	DomainForML_20181127	10.0.0.114	Kaumudi
vol-005c9ad333523a220	gp2	200	None	None	#N/A	#N/A	#N/A
vol-0887b4b1987a3f217	gp2	200	None	None	#N/A	#N/A	#N/A
vol-0be46d4b2a77a5959	gp2	423	i-093e844b624e33685	xvdo	Backup-S3Mover	10.0.0.202	Palani
vol-008786776f8319831	gp2	434	i-07caa5392218532b3	xvdf	Backup-OnBoarding-1	10.0.0.211	Palani
vol-0dd1c406482d17924	gp2	432	i-041cbe892670b102f	xvdf	Backup-100-Drive	10.0.0.41	Palani
vol-0bb73d16aa8ee98a5	gp2	400	i-00d3dfddc6a3b02d8	xvdk	Backup-OnBoarding-O365-6	10.0.0.207	Palani
vol-0f8773a022f5fcdd7	gp2	99	i-0c7748c1e70fa0312	/dev/sda1	O365-Fareportal-4	10.0.0.187	Gokul
vol-0ab4fd8709f2404d0	gp2	99	i-07d316b930d704b0c	/dev/sda1	O365-Fareportal-5	10.0.0.112	Gokul
vol-06e76a8d5ae9fe27d	gp2	400	i-0c7748c1e70fa0312	xvdf	O365-Fareportal-4	10.0.0.187	Gokul
vol-0736ad4504e4c1bc5	gp2	400	i-07d316b930d704b0c	xvdf	O365-Fareportal-5	10.0.0.112	Gokul
vol-01951cc767611a621	gp2	200	i-0908840c3bc9154ab	xvdh	Backup-OnBoarding-O365-2	10.0.0.247	Palani
vol-0e90762badbc803d0	gp2	200	None	None	#N/A	#N/A	#N/A
vol-07633adcc7dca728b	gp2	200	None	None	#N/A	#N/A	#N/A
vol-0084c59af59e70a6e	gp2	99	i-048e73f6e5d6b87d1	/dev/sda1	O365-Restore-Export-Sync	10.0.0.26	Gokul
vol-0077fd51b770deec7	gp2	200	i-048e73f6e5d6b87d1	xvdb	O365-Restore-Export-Sync	10.0.0.26	Gokul
vol-04836742abd0dd83a	gp2	423	i-078eb949a4b700ee8	xvdg	Backup-100	10.0.0.250	Palani
vol-03cc086f862804658	gp2	8	i-0cd1fa97df4cccc44	/dev/sda1	ubuntufsx	10.0.0.123	None
vol-013b369f7eb381cdc	gp2	99	i-06de07cd1107a4119	/dev/sda1	BTrialServerNew	10.0.0.19	None
vol-0d33f6fe6cf994be3	gp2	99	i-06e426b97a1eb56b9	/dev/sda1	FeedSyncServer-1	10.0.0.121	None
vol-03f8fa0bb98127c11	gp2	99	i-03d4b69032a0d9271	/dev/sda1	FeedSyncServer-5	10.0.0.115	None
vol-035477de2ef8ea7ad	gp2	99	i-086eaa82a9bcafbab	/dev/sda1	BPaid-AppServer-3X-1	10.0.0.141	None
vol-005225c1fe21efd97	gp2	30	i-011ccb5884e673508	/dev/sda1	AdJoinedwindows	10.0.1.106	None
vol-05e73d2fcdcde73ca	gp2	118	i-093e844b624e33685	xvdi	Backup-S3Mover	10.0.0.202	Palani
